,G,Date,Team,Home/Away,Opp,W/L,Team Score,Oponent Score,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team FT,Team FTA,Team FT%,Team ORB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Home Indicator,Win Indicator,Team ORtg,Team DRtg,Team Pace,Team FTr,Team 3PAr,Team TS%,Team TRB%,Team AST%,Team STL%,Team BLK%,Team eFG%,Team TOV%,Team ORB%,Team FT/FGA,Opponent eFG%,Opponent TOV%,Opponent DRB%,Opponent FT/FGA
15,16,2017-11-18,ATL,Home,BOS,L,99,110,37,78,0.474,9,24,0.375,16,20,0.8,6,35,24,7,1,13,19,39,82,0.47600000000000003,16,34,0.47100000000000003,16,20,0.8,9,41,21,9,6,16,22,1,0,105.8,117.5,93.6,0.256,0.308,0.57,46.1,64.9,7.5,2.1,0.532,13.0,15.8,0.205,0.573,15.0,76.3,0.195
16,17,2017-11-20,ATL,Away,SAS,L,85,96,37,85,0.435,8,30,0.267,3,8,0.375,9,38,21,7,7,15,15,40,89,0.449,10,31,0.32299999999999995,6,6,1.0,14,52,29,7,5,18,17,0,0,91.5,103.4,92.8,0.094,0.353,0.48,42.2,56.8,7.5,12.1,0.48200000000000004,14.5,19.1,0.035,0.506,16.4,67.4,0.067
17,18,2017-11-22,ATL,Home,LAC,L,103,116,40,83,0.48200000000000004,10,29,0.345,13,15,0.867,9,36,26,10,2,15,20,44,76,0.579,15,30,0.5,13,19,0.684,6,33,30,7,4,15,15,1,0,111.4,125.5,92.4,0.18100000000000002,0.349,0.575,52.2,65.0,10.8,4.3,0.542,14.3,25.0,0.157,0.6779999999999999,15.1,81.8,0.171
18,19,2017-11-24,ATL,Home,NYK,W,116,104,47,99,0.475,13,31,0.419,9,12,0.75,13,40,30,7,2,9,16,40,79,0.506,12,30,0.4,12,14,0.857,5,38,30,1,9,20,19,1,1,118.9,106.6,97.6,0.121,0.313,0.556,51.3,63.8,7.2,4.1,0.54,7.9,28.3,0.091,0.5820000000000001,19.0,84.4,0.152
19,20,2017-11-25,ATL,Home,TOR,L,78,112,26,75,0.34700000000000003,6,27,0.222,20,23,0.87,7,32,18,9,1,18,15,46,84,0.5479999999999999,13,32,0.406,7,9,0.778,11,46,31,10,3,16,22,1,0,84.5,121.3,92.3,0.307,0.36,0.45799999999999996,41.0,69.2,9.7,1.9,0.387,17.5,16.7,0.267,0.625,15.4,69.4,0.083
22,21,2017-11-30,ATL,Home,CLE,L,114,121,41,79,0.519,12,31,0.387,20,24,0.833,8,29,24,9,4,17,20,41,79,0.519,18,39,0.462,21,27,0.778,12,40,30,9,5,19,20,1,0,119.6,127.0,95.3,0.304,0.392,0.636,42.0,58.5,9.4,10.0,0.595,16.0,22.2,0.253,0.633,17.3,63.6,0.266
23,22,2017-12-02,ATL,Away,BRK,W,114,102,47,99,0.475,10,27,0.37,10,14,0.7140000000000001,13,47,18,12,5,8,19,34,82,0.415,17,42,0.405,17,21,0.81,12,46,26,1,8,19,18,0,1,118.0,105.6,96.6,0.141,0.273,0.542,50.5,38.3,12.4,12.5,0.525,7.1,27.7,0.10099999999999999,0.518,17.2,73.9,0.207
24,23,2017-12-04,ATL,Home,BRK,L,90,110,30,82,0.366,9,30,0.3,21,27,0.778,9,38,18,9,2,18,19,41,85,0.48200000000000004,15,36,0.41700000000000004,13,15,0.867,12,52,29,7,6,22,28,1,0,90.1,110.1,99.9,0.32899999999999996,0.366,0.479,42.2,60.0,9.0,4.1,0.42100000000000004,16.1,18.4,0.256,0.5710000000000001,19.4,70.7,0.153
25,24,2017-12-06,ATL,Away,ORL,L,106,110,40,93,0.43,11,27,0.40700000000000003,15,20,0.75,11,49,25,7,3,17,16,46,98,0.469,6,28,0.214,12,18,0.667,13,52,17,9,7,16,23,0,0,99.7,103.5,96.2,0.215,0.29,0.521,48.5,62.5,6.6,4.3,0.489,14.3,22.0,0.161,0.5,13.1,74.5,0.122
26,25,2017-12-09,ATL,Home,ORL,W,117,110,41,80,0.513,17,33,0.515,18,25,0.72,9,40,33,7,6,12,13,45,92,0.489,13,34,0.382,7,8,0.875,10,39,39,7,2,12,24,1,1,125.1,117.6,93.5,0.313,0.413,0.643,50.6,80.5,7.5,10.3,0.619,11.7,23.7,0.225,0.56,11.2,75.6,0.076
27,26,2017-12-10,ATL,Away,NYK,L,107,111,37,77,0.48100000000000004,9,31,0.29,24,30,0.8,6,35,22,5,4,16,28,39,80,0.488,5,17,0.294,28,34,0.8240000000000001,6,33,16,9,4,12,30,0,0,109.6,113.7,97.6,0.39,0.40299999999999997,0.593,51.5,59.5,5.1,6.3,0.539,15.1,18.2,0.312,0.519,11.2,82.9,0.35
